year,country,leadername,died,politybefore,polityafter
1966,Oman,Sa`id ibn Taimur,0,-10,-10
1951,Pakistan,L. Khan,1,3.333333333,5
1968,Pakistan,Ayub Khan,0,1,0.333333333
1988,Pakistan,Zia,1,-4,8
1999,Pakistan,Sharif,0,7.333333333,-5.666666667
1955,Panama,Remon Cantero,1,-1,4
1908,Peru,Pardo y Barreda,0,2,2
1932,Peru,Sanchez Cerro,0,-6,2
1933,Peru,Sanchez Cerro,1,-3,2
1933,Peru,Benavidez,0,-3,2
1986,Peru,Garcia Perez,0,7,7
1922,Poland,Narutowicz,1,8,8
1924,Poland,Wojciechowski,0,8,0.666666667
1893,Portugal,Carlos I,0,-4,-4
1896,Portugal,Carlos I,0,-4,-4
1908,Portugal,Carlos I,1,-4.333333333,4.666666667
1918,Portugal,Paes,1,7,7
1937,Portugal,Salazar,0,-9,-9
1952,Korea South,Rhee,0,-3,-4
1968,Korea South,Hee Park,0,3,3
1974,Korea South,Hee Park,0,-4.666666667,-8
1979,Korea South,Hee Park,1,-8,-6
1983,Korea South,Chun Doo Hwan,0,-6,-5
1878,Russia,Alexander II,0,-10,-10
1879,Russia,Alexander II,0,-10,-10
1880,Russia,Alexander II,0,-10,-10
1881,Russia,Alexander II,1,-10,-10
1886,Russia,Alexander III,0,-10,-10
1888,Russia,Alexander III,0,-10,-10
1889,Russia,Alexander III,0,-10,-10
1904,Russia,Nicholas II,0,-10,-6.666666667
1914,Russia,Nicholas II,0,-6,-4.333333333
1918,Russia,Lenin,0,-4.333333333,-1
1962,Vietnam South,Ngo Dinh Diem,0,-3,-3
1994,Rwanda,Habyarimana,1,-6.666666667,-6
1960,South Africa,Verwoerd,0,4,4
1966,South Africa,Verwoerd,1,4,4
1913,El Salvador,Araujo,1,-6,-6
1935,Saudi Arabia,Aziz,0,-10,-10
1975,Saudi Arabia,Faisal,1,-10,-10
1967,Senegal,Senghor,0,-7,-7
1969,Somalia,Shermarke,1,7,-7
1897,Spain,del Castillo,1,4.333333333,4.666666667
1904,Spain,Maura y Montaner,0,6,6
1912,Spain,Canalejas y Mendez,1,6,6
1921,Spain,Dato y Iradier,1,6,-2.666666667
1926,Spain,de Rivera,0,-6.666666667,-6
1959,Sri Lanka,"Bandaranaike, S.W.R.D.",1,7,7
1987,Sri Lanka,Jayewardene,0,5,5
1993,Sri Lanka,Premadasa,1,5,5
1999,Sri Lanka,Kumaratunga,0,5,5.666666667
1970,Sudan,Nimeiri,0,5.333333333,-7
1986,Sweden,Palme,1,10,10
1973,Syria,Al-Assad H.,0,-9,-9
1980,Syria,Al-Assad H.,0,-9,-9
1963,Togo,Olympio,1,-6,-6
1967,Togo,Eyadema,0,-6,-7
1905,Turkey,Hamid II,0,-10,-8
1906,Turkey,Hamid II,0,-10,-5
1964,Turkey,Inonu,0,9,8
1975,Turkey,Demirel,0,5.333333333,9
1988,Turkey,Ozal,0,7,9
1969,Uganda,Obote,0,-4,-7
1975,Uganda,Amin,0,-7,-7
1976,Uganda,Amin,0,-7,-7
1977,Uganda,Amin,0,-7,-2
1984,United Kingdom,Thatcher,0,10,10
1886,Uruguay,Maximo Santos,0,-3,-3
1897,Uruguay,Juan Idiarte Borda,1,-3,-3
1897,Uruguay,Juan Lindolfo Cuestas,0,-3,-3
1918,Uruguay,Feliciano Viera,0,2,3
1935,Uruguay,Terra,0,2,0
1881,United States,Garfield,1,10,10
1901,United States,McKinley,1,10,10
1933,United States,"Roosevelt, F.",0,10,10
1950,United States,Truman,0,10,10
1963,United States,Kennedy,1,10,10
1972,United States,Nixon,0,10,10
1975,United States,Ford,0,10,10
1981,United States,Reagan,0,10,10
1999,Uzbekistan,Karimov,0,-9,-9
1900,Venezuela,Cipriano Castro,0,-3,-3
1931,Venezuela,Gomez,0,-9,-9
1950,Venezuela,Delgado Chalbaud,1,-3,-3
1960,Venezuela,Betancourt,0,3,6
1961,Yemen North,Ibn Yahya Hamid,0,-6,0
1968,Yemen North,Al-Iryani,0,-2,-3
1977,Yemen North,Al-Hamadi,1,-4,-6
1977,Yemen North,Al-Ghashmi,0,-4,-6
1978,Yemen North,Al-Ghashmi,1,-4.666666667,-6
1934,Yugoslavia,Alexander,1,-10,-7.666666667
