"statusquo","vote","voteYES"
-3.31101,"N",0
-2.14959,"N",0
-3.11811,"N",0
-3.42951,"N",0
1.64703,"Y",1
-1.9851,"N",0
4.3581,"Y",1
4.21083,"Y",1
-0.38139,"Y",1
2.8425,"Y",1
4.30959,"Y",1
0.98292,"Y",1
2.9844,"Y",1
2.94588,"Y",1
1.12233,"Y",1
4.00185,"Y",1
-1.79481,"N",0
1.30209,"Y",1
4.86414,"Y",1
4.7631,"Y",1
4.2468,"Y",1
-3.88851,"N",0
-1.16079,"N",0
-1.76268,"N",0
0.06534,"N",0
-2.00697,"N",0
3.58689,"Y",1
-0.13674,"N",0
1.95411,"Y",1
-2.87817,"N",0
4.24248,"Y",1
3.63375,"Y",1
4.52958,"Y",1
2.96148,"Y",1
3.17235,"Y",1
1.04211,"Y",1
0.46332,"Y",1
-3.31068,"N",0
3.16959,"Y",1
0.0672,"Y",1
-2.73372,"Y",1
-2.48949,"Y",1
4.34559,"Y",1
-3.23511,"N",0
0.87135,"Y",1
-2.68941,"N",0
-3.88851,"N",0
-3.88851,"N",0
-2.77131,"N",0
-1.8054,"Y",1
1.71057,"Y",1
-0.55533,"Y",1
4.54728,"Y",1
2.27157,"Y",1
-3.23583,"N",0
4.30959,"Y",1
0.02649,"Y",1
4.04487,"Y",1
-3.45693,"N",0
3.04092,"Y",1
0.71316,"Y",1
3.75435,"Y",1
-3.57162,"N",0
3.70515,"Y",1
3.72675,"Y",1
-1.68879,"N",0
-3.54033,"N",0
4.13214,"Y",1
-2.68941,"N",0
0.87069,"Y",1
-0.61698,"N",0
2.90331,"Y",1
2.48172,"Y",1
3.22932,"Y",1
-3.58986,"N",0
-0.2175,"N",0
-2.61954,"Y",1
4.66431,"Y",1
4.1298,"Y",1
-3.69096,"N",0
3.67629,"Y",1
4.22856,"Y",1
-3.69096,"Y",1
1.21683,"Y",1
-3.88851,"N",0
-0.39531,"Y",1
-1.38486,"N",0
-3.00762,"N",0
-2.81058,"Y",1
-2.69175,"N",0
-3.88851,"N",0
0.63189,"N",0
1.54233,"Y",1
4.11624,"Y",1
3.05016,"Y",1
0.16677,"Y",1
2.33523,"Y",1
4.38408,"Y",1
-3.00162,"N",0
-3.88851,"N",0
-3.09018,"N",0
-3.88851,"N",0
3.63552,"Y",1
-3.5604,"N",0
1.59771,"N",0
4.00332,"Y",1
-2.62785,"N",0
2.20863,"Y",1
-2.34357,"N",0
3.11181,"Y",1
-3.77385,"N",0
-3.88851,"N",0
4.54728,"Y",1
-1.58898,"Y",1
3.57813,"Y",1
-3.88851,"N",0
-3.88851,"N",0
-1.85583,"N",0
-3.78975,"N",0
-3.88851,"N",0
-3.77385,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.58512,"N",0
-3.42147,"N",0
-0.91116,"N",0
-3.65502,"N",0
4.7631,"Y",1
-3.88851,"N",0
-0.64911,"N",0
4.31316,"Y",1
-3.10698,"N",0
3.46884,"Y",1
-1.93365,"N",0
2.00343,"Y",1
-2.691,"N",0
-2.78817,"N",0
-3.24165,"N",0
2.00631,"Y",1
2.32122,"Y",1
3.77742,"Y",1
4.7631,"Y",1
4.79406,"Y",1
2.80362,"Y",1
-3.20973,"N",0
-3.88851,"N",0
-3.00021,"N",0
-3.42309,"N",0
-3.43083,"N",0
-3.88851,"N",0
-3.45276,"N",0
-3.88851,"N",0
-3.23931,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
-2.26812,"N",0
1.08606,"Y",1
-2.59377,"N",0
4.41072,"Y",1
4.64424,"Y",1
-2.96799,"N",0
-2.98494,"N",0
1.27377,"Y",1
-2.18604,"N",0
-3.28176,"N",0
-3.56799,"N",0
3.87828,"Y",1
3.32151,"Y",1
1.2594,"N",0
3.75816,"Y",1
4.33203,"Y",1
-1.94301,"N",0
4.34214,"Y",1
-3.88851,"N",0
-3.35478,"N",0
4.40655,"Y",1
-3.77385,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
2.26932,"Y",1
3.68559,"Y",1
-3.88851,"N",0
-3.3339,"N",0
-3.88851,"N",0
-0.64899,"N",0
-3.54453,"N",0
0.80109,"Y",1
-2.90535,"N",0
-2.79051,"N",0
-3.88851,"N",0
4.11624,"Y",1
-3.88851,"N",0
-3.88851,"N",0
-1.70376,"Y",1
-2.83113,"N",0
1.60473,"Y",1
-3.83628,"N",0
4.41786,"Y",1
-3.99594,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
3.28557,"Y",1
-1.96797,"N",0
-2.57643,"N",0
-3.88851,"N",0
-3.10458,"N",0
1.2477,"Y",1
-2.25216,"N",0
-3.88851,"N",0
-3.02169,"Y",1
0.10437,"Y",1
-2.08302,"N",0
-3.5472,"N",0
0.381,"Y",1
-3.22707,"N",0
-1.93032,"N",0
-3.46263,"N",0
3.90489,"Y",1
2.58906,"Y",1
2.61975,"Y",1
-2.54784,"N",0
-0.66438,"Y",1
-3.88851,"N",0
-3.66903,"N",0
-3.91053,"Y",1
-3.77385,"N",0
4.52538,"Y",1
-2.92377,"N",0
2.52621,"Y",1
4.15977,"Y",1
-2.4327,"N",0
-3.88851,"N",0
4.03356,"Y",1
-3.53196,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
3.70311,"Y",1
-2.40759,"N",0
4.19493,"Y",1
3.9282,"Y",1
-1.62063,"N",0
-3.20805,"N",0
-0.4974,"Y",1
3.40095,"Y",1
-2.72532,"N",0
-3.59217,"N",0
-3.5658,"N",0
4.7631,"Y",1
-3.88887,"N",0
-2.05551,"N",0
-3.77385,"N",0
-3.88851,"N",0
-3.77385,"N",0
-0.24822,"Y",1
2.40918,"Y",1
3.96966,"Y",1
1.53975,"Y",1
4.7631,"Y",1
3.36162,"Y",1
-0.63177,"N",0
3.88827,"Y",1
4.46079,"Y",1
-3.42147,"N",0
-0.25986,"N",0
-2.64381,"N",0
-3.40368,"N",0
-3.55203,"N",0
-1.04796,"Y",1
3.99504,"Y",1
-0.13641,"N",0
1.76373,"Y",1
-3.42147,"N",0
3.64563,"Y",1
-1.66311,"N",0
-1.6491,"N",0
-3.11103,"N",0
-0.80907,"N",0
3.02016,"Y",1
-0.40398,"N",0
-0.54447,"N",0
-3.88851,"N",0
2.28273,"Y",1
0.00879,"Y",1
4.29027,"Y",1
-0.28737,"Y",1
-1.68582,"Y",1
4.7631,"Y",1
4.20849,"Y",1
-3.88851,"N",0
-3.67509,"N",0
4.30959,"Y",1
-3.88851,"N",0
-1.82787,"N",0
3.58494,"Y",1
-3.88851,"N",0
3.74127,"Y",1
-1.99425,"Y",1
-3.66855,"N",0
4.31379,"Y",1
-3.65085,"N",0
4.64424,"Y",1
2.72256,"Y",1
-3.02169,"N",0
-3.83628,"N",0
-3.77385,"N",0
-3.15771,"N",0
-1.9521,"N",0
-2.96703,"N",0
-3.51936,"N",0
2.93505,"Y",1
-2.39652,"N",0
4.53378,"Y",1
2.27499,"Y",1
4.15011,"Y",1
-3.22131,"N",0
3.33705,"Y",1
-2.08131,"N",0
1.66674,"Y",1
2.3505,"Y",1
3.92325,"Y",1
2.89011,"Y",1
-2.18094,"N",0
3.85806,"Y",1
0.57525,"N",0
-3.35634,"N",0
4.41072,"Y",1
4.03773,"Y",1
-1.70325,"N",0
-3.65922,"N",0
4.7631,"Y",1
4.7631,"Y",1
0.03837,"N",0
3.23691,"Y",1
-2.92293,"N",0
-2.78085,"N",0
-2.10789,"N",0
-3.42147,"N",0
2.69379,"Y",1
3.72483,"Y",1
-3.67509,"N",0
4.70451,"Y",1
-1.20897,"N",0
-3.88851,"N",0
-3.88851,"N",0
4.46682,"Y",1
4.53978,"Y",1
-3.43737,"N",0
-3.91455,"N",0
2.71812,"Y",1
2.45853,"Y",1
3.0333,"N",0
-3.0702,"N",0
4.7631,"Y",1
-3.88851,"N",0
4.52538,"Y",1
-1.9023,"Y",1
4.32966,"Y",1
-1.87359,"Y",1
-3.65619,"N",0
-3.88851,"N",0
-2.94567,"N",0
4.21083,"Y",1
2.52915,"Y",1
0.18717,"N",0
3.99738,"Y",1
2.62779,"Y",1
5.05995,"Y",1
-3.78975,"N",0
-2.42646,"N",0
4.25997,"Y",1
-3.19299,"N",0
-2.25477,"N",0
-0.50583,"N",0
-2.19564,"N",0
-3.42309,"N",0
-2.90469,"N",0
3.11826,"Y",1
-3.88851,"N",0
0.98346,"Y",1
-3.35634,"N",0
-3.88851,"N",0
4.1772,"Y",1
-2.41224,"N",0
4.41471,"Y",1
-3.15999,"N",0
-0.38631,"N",0
-3.57444,"N",0
-1.65978,"N",0
-3.77958,"N",0
-3.65502,"N",0
4.7631,"Y",1
3.4152,"Y",1
0.89694,"Y",1
-3.54033,"N",0
-2.11335,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
4.7631,"Y",1
2.22951,"Y",1
-3.88851,"N",0
-3.43368,"N",0
2.74389,"Y",1
-3.45675,"N",0
2.8392,"Y",1
-2.37471,"N",0
1.06716,"Y",1
1.34151,"Y",1
0.19113,"Y",1
-0.58371,"N",0
4.23348,"Y",1
-2.99919,"N",0
-3.21924,"N",0
-2.1489,"N",0
-3.01776,"N",0
-2.97825,"N",0
4.42845,"Y",1
2.88594,"Y",1
2.39889,"Y",1
-2.21919,"N",0
-3.25047,"N",0
4.70583,"Y",1
-3.88851,"N",0
2.40969,"Y",1
0.89337,"Y",1
4.7631,"Y",1
-2.9271,"N",0
-1.93572,"N",0
2.44329,"Y",1
2.15706,"Y",1
1.07592,"Y",1
-3.26628,"N",0
3.27726,"Y",1
4.30959,"Y",1
-2.51484,"N",0
-1.64508,"N",0
-3.77385,"N",0
0.14835,"Y",1
-3.77583,"N",0
-3.02217,"N",0
-2.47269,"N",0
0.77199,"Y",1
-2.47011,"N",0
1.72347,"Y",1
-0.7677,"N",0
3.00372,"Y",1
3.84138,"Y",1
-2.30496,"Y",1
0.07149,"Y",1
-3.88851,"N",0
2.07507,"Y",1
4.0803,"Y",1
3.96141,"Y",1
4.07361,"Y",1
3.24264,"Y",1
2.27391,"Y",1
4.42845,"Y",1
4.2135,"Y",1
-3.68628,"N",0
4.36848,"Y",1
4.66395,"Y",1
4.50687,"Y",1
4.7631,"Y",1
-2.86137,"N",0
4.7631,"Y",1
4.30959,"Y",1
2.06421,"Y",1
-3.57411,"N",0
4.01487,"Y",1
4.06443,"Y",1
-3.66774,"N",0
-2.64192,"N",0
1.02948,"Y",1
-0.07155,"Y",1
3.88272,"Y",1
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.88851,"N",0
4.64406,"Y",1
1.6476,"Y",1
4.29609,"Y",1
3.52101,"Y",1
3.4929,"Y",1
3.80868,"Y",1
2.90814,"Y",1
-2.21871,"N",0
3.75252,"Y",1
2.09661,"Y",1
3.75918,"Y",1
-3.88851,"N",0
0.59742,"Y",1
3.93111,"Y",1
4.45641,"Y",1
3.4614,"Y",1
-0.8064,"N",0
-2.67447,"Y",1
-2.91543,"N",0
-2.58276,"N",0
3.14262,"Y",1
0.61449,"Y",1
-3.78741,"N",0
3.92376,"Y",1
-2.36406,"N",0
-2.18466,"N",0
-3.54969,"N",0
4.31379,"Y",1
-3.31101,"N",0
-1.51272,"N",0
3.4479,"Y",1
3.29103,"Y",1
2.14344,"Y",1
3.0564,"Y",1
2.49345,"Y",1
-3.02169,"N",0
-3.25755,"N",0
-2.89584,"N",0
2.80566,"Y",1
4.66197,"Y",1
2.93469,"Y",1
4.21083,"Y",1
3.99738,"Y",1
4.31196,"Y",1
4.7631,"Y",1
2.44827,"Y",1
3.98805,"Y",1
4.53852,"N",0
2.72724,"Y",1
-3.4392,"N",0
-2.8218,"N",0
2.24958,"Y",1
2.88747,"Y",1
1.203,"Y",1
4.7631,"Y",1
4.66431,"Y",1
-2.07144,"Y",1
4.09617,"Y",1
4.19076,"Y",1
0.48846,"Y",1
3.75771,"Y",1
0.93288,"Y",1
4.21083,"Y",1
-0.94038,"N",0
3.82323,"Y",1
2.99376,"Y",1
3.28647,"Y",1
0.32715,"Y",1
-2.93829,"N",0
-0.24423,"Y",1
2.41899,"Y",1
3.82701,"Y",1
-2.90703,"N",0
0.43728,"Y",1
4.64424,"Y",1
0.73365,"Y",1
4.31379,"Y",1
4.17723,"Y",1
-1.11051,"Y",1
3.54978,"Y",1
4.08519,"Y",1
-3.88851,"N",0
-0.1479,"N",0
0.37023,"Y",1
-2.1375,"N",0
0.7725,"Y",1
4.7631,"Y",1
-3.59217,"N",0
4.40655,"Y",1
4.42845,"Y",1
1.21494,"Y",1
-3.87879,"N",0
-3.4551,"N",0
2.96286,"Y",1
0.15141,"Y",1
-2.66148,"N",0
-0.5079,"N",0
-2.8059,"N",0
-2.40843,"N",0
-3.1896,"N",0
-3.10509,"N",0
3.79746,"Y",1
-0.15339,"Y",1
1.93269,"Y",1
-0.21837,"N",0
1.59348,"Y",1
4.20849,"Y",1
-3.42147,"N",0
-3.27045,"N",0
-1.68165,"N",0
-2.78817,"N",0
-0.50496,"N",0
3.12912,"Y",1
-2.65998,"Y",1
-3.6612,"N",0
-3.58314,"N",0
4.0362,"Y",1
-3.65922,"N",0
-2.43234,"N",0
3.9822,"Y",1
-0.84735,"N",0
-3.92139,"N",0
-3.4551,"N",0
-2.91819,"N",0
4.07847,"Y",1
-1.44387,"N",0
-3.55806,"N",0
-3.88851,"N",0
-2.34897,"N",0
-2.09472,"N",0
-3.66855,"N",0
-2.16231,"N",0
-3.16875,"N",0
-0.24408,"N",0
-3.88851,"N",0
1.67109,"Y",1
-3.15591,"Y",1
-3.12252,"N",0
-3.88851,"N",0
-3.63696,"N",0
-3.35232,"N",0
-3.12225,"N",0
-3.20043,"N",0
4.19493,"Y",1
-3.00009,"N",0
1.03368,"Y",1
-3.88851,"N",0
-0.87057,"Y",1
4.7631,"Y",1
1.31607,"N",0
-2.93847,"N",0
-3.30264,"N",0
4.42428,"Y",1
-2.7267,"N",0
1.43367,"Y",1
-2.01759,"N",0
-2.64174,"N",0
-3.20019,"N",0
-3.23697,"N",0
-2.99925,"N",0
-3.61632,"N",0
4.29609,"N",0
-3.88851,"N",0
0.75069,"Y",1
2.44833,"Y",1
-3.18387,"N",0
-0.83778,"Y",1
2.22198,"Y",1
-3.59835,"N",0
-2.40768,"N",0
4.15878,"Y",1
-2.70711,"N",0
-2.37666,"N",0
4.66431,"Y",1
-3.88851,"N",0
-3.35868,"N",0
-1.22262,"N",0
-2.38392,"N",0
-3.88851,"N",0
4.29609,"Y",1
-2.29791,"N",0
-1.32933,"N",0
4.40655,"Y",1
5.06457,"Y",1
3.10377,"Y",1
0.96948,"Y",1
-3.02637,"N",0
-3.02631,"N",0
4.7631,"Y",1
2.71323,"Y",1
0.53604,"Y",1
-2.58591,"N",0
4.7631,"Y",1
-2.98809,"N",0
-2.90286,"N",0
-3.4392,"N",0
-0.63159,"N",0
2.86833,"N",0
-3.14631,"N",0
-3.65085,"N",0
-2.65107,"N",0
-3.12465,"N",0
1.2972,"Y",1
-3.88851,"N",0
-0.76053,"N",0
-2.17137,"Y",1
2.43591,"Y",1
-1.86567,"N",0
-3.88851,"N",0
-1.53186,"N",0
-2.79489,"N",0
4.44435,"Y",1
3.76566,"Y",1
0.0216,"N",0
3.87918,"Y",1
4.7631,"Y",1
4.19913,"Y",1
3.72744,"Y",1
-3.88851,"N",0
3.55428,"Y",1
1.07184,"Y",1
3.66039,"Y",1
2.86347,"Y",1
1.10028,"N",0
3.55269,"Y",1
3.67698,"Y",1
4.16871,"Y",1
3.99732,"Y",1
4.7805,"Y",1
3.58581,"Y",1
3.8184,"Y",1
-3.12318,"N",0
4.42428,"Y",1
4.5114,"Y",1
3.61011,"Y",1
4.32966,"Y",1
4.368,"Y",1
3.52647,"Y",1
-3.68628,"N",0
0.7266,"N",0
2.01498,"Y",1
3.63918,"Y",1
3.58125,"Y",1
4.7631,"Y",1
4.7631,"Y",1
2.51106,"Y",1
4.41072,"Y",1
-0.80166,"N",0
4.0578,"Y",1
3.39006,"Y",1
1.50558,"N",0
4.42845,"Y",1
4.7631,"Y",1
3.25305,"Y",1
4.09617,"Y",1
-3.88851,"N",0
-3.68628,"N",0
4.7631,"Y",1
0.687,"N",0
-0.8298,"Y",1
0.82974,"Y",1
3.89394,"Y",1
-0.84543,"N",0
1.09575,"Y",1
4.41072,"Y",1
-3.88851,"N",0
2.8524,"Y",1
-3.47079,"N",0
-0.99729,"N",0
3.87036,"Y",1
4.52538,"Y",1
3.02988,"Y",1
-3.65085,"N",0
4.46205,"Y",1
-0.80598,"N",0
2.72796,"Y",1
-0.24162,"Y",1
2.47515,"Y",1
-2.12694,"N",0
3.7923,"Y",1
2.93994,"Y",1
-2.56242,"N",0
4.75458,"Y",1
-1.05504,"N",0
4.30959,"Y",1
-0.60897,"Y",1
-1.33326,"N",0
0.98526,"Y",1
3.37692,"Y",1
-3.25938,"N",0
3.04185,"Y",1
-3.88851,"N",0
0.33948,"Y",1
-3.88851,"N",0
0.18357,"Y",1
-3.66855,"N",0
3.04983,"Y",1
-1.65843,"N",0
-3.69096,"N",0
-2.62011,"N",0
-3.37404,"N",0
-2.06271,"N",0
-0.11073,"Y",1
-3.12282,"N",0
4.08801,"Y",1
-3.19206,"N",0
-2.90091,"N",0
3.975,"Y",1
4.54545,"Y",1
-2.16954,"N",0
1.79688,"Y",1
4.7631,"Y",1
4.7631,"Y",1
1.73289,"N",0
4.7631,"Y",1
2.01981,"N",0
-2.93127,"N",0
4.72098,"Y",1
4.22856,"Y",1
4.7631,"Y",1
1.54911,"N",0
-3.02169,"N",0
0.60411,"Y",1
3.88272,"Y",1
-3.88851,"N",0
-3.88851,"N",0
2.93808,"Y",1
0.29532,"Y",1
-3.35634,"N",0
1.72107,"Y",1
3.19278,"Y",1
-1.62531,"N",0
3.79842,"Y",1
-2.42961,"N",0
0.90537,"Y",1
3.00294,"Y",1
-1.07082,"N",0
0.30699,"Y",1
-1.30611,"N",0
4.68177,"Y",1
4.10265,"Y",1
0.48942,"Y",1
-3.65502,"N",0
-3.42147,"N",0
4.64841,"Y",1
-2.78979,"N",0
2.8752,"Y",1
-2.95836,"N",0
-3.42147,"N",0
4.50603,"Y",1
-3.80559,"N",0
-3.10458,"N",0
-3.1485,"N",0
-3.88851,"N",0
-0.47364,"N",0
3.85875,"Y",1
3.37692,"Y",1
4.64424,"Y",1
4.64424,"Y",1
4.11897,"Y",1
2.04303,"Y",1
4.21347,"Y",1
-3.88851,"N",0
5.14065,"Y",1
4.29609,"Y",1
-3.12702,"N",0
1.24227,"N",0
3.42342,"Y",1
4.37865,"Y",1
1.50885,"Y",1
4.09851,"Y",1
4.18437,"Y",1
1.56534,"Y",1
1.19898,"Y",1
4.52958,"Y",1
3.04041,"Y",1
2.32368,"Y",1
1.56636,"Y",1
-3.88851,"Y",1
3.02664,"Y",1
3.27726,"Y",1
-1.84026,"N",0
2.19162,"Y",1
3.20409,"Y",1
-3.54969,"N",0
-2.78817,"N",0
-2.25252,"N",0
-3.77385,"N",0
3.28362,"Y",1
4.02756,"Y",1
-2.53233,"N",0
-3.42147,"N",0
-3.02169,"N",0
0.34623,"Y",1
-3.45927,"N",0
3.17682,"Y",1
4.29609,"Y",1
3.10179,"Y",1
1.31358,"Y",1
-0.97482,"N",0
4.47561,"Y",1
-1.98516,"N",0
-0.51285,"Y",1
4.29609,"Y",1
-2.80404,"N",0
-3.56979,"N",0
3.09753,"Y",1
3.00552,"Y",1
-2.52603,"N",0
4.34322,"Y",1
3.72552,"Y",1
4.7631,"Y",1
-3.42951,"N",0
3.97731,"Y",1
3.36816,"Y",1
1.98876,"Y",1
-3.00579,"N",0
2.97504,"Y",1
4.43079,"Y",1
3.94983,"Y",1
-3.47286,"N",0
4.7631,"Y",1
3.48537,"Y",1
4.05,"N",0
-1.9647,"N",0
-3.32034,"N",0
3.96486,"Y",1
0.3756,"Y",1
-2.97516,"N",0
4.11204,"Y",1
-3.54519,"N",0
-2.10141,"N",0
2.99112,"N",0
3.71079,"Y",1
-2.50332,"N",0
0.87072,"Y",1
-1.28175,"Y",1
-0.35352,"Y",1
3.00954,"Y",1
3.01584,"Y",1
4.7631,"Y",1
-2.517,"N",0
0.67248,"N",0
4.2087,"Y",1
-3.79572,"N",0
-1.23189,"N",0
1.65525,"Y",1
-0.91188,"Y",1
3.97731,"Y",1
1.84371,"Y",1
4.54965,"Y",1
1.40046,"N",0
-0.75969,"Y",1
1.98471,"Y",1
3.75597,"Y",1
1.02663,"N",0
-3.77697,"Y",1
2.39151,"Y",1
4.08618,"Y",1
-3.09081,"N",0
-3.55806,"N",0
-3.44856,"N",0
-3.14526,"N",0
4.30959,"Y",1
4.7631,"Y",1
-2.92521,"N",0
-3.135,"N",0
-3.65922,"N",0
-3.88851,"N",0
2.29893,"Y",1
3.81102,"Y",1
1.84755,"Y",1
-0.10062,"N",0
-3.19356,"N",0
1.35177,"Y",1
-3.88851,"N",0
-3.32691,"N",0
0.60873,"Y",1
-3.16629,"N",0
3.73638,"Y",1
-3.3339,"N",0
1.88076,"Y",1
-2.79024,"N",0
4.7631,"Y",1
-1.47072,"Y",1
-1.74987,"N",0
-3.102,"N",0
-3.88851,"N",0
-1.21407,"N",0
-3.17631,"N",0
3.89625,"Y",1
4.7631,"Y",1
-2.36865,"N",0
0.08211,"Y",1
2.54904,"Y",1
1.80381,"Y",1
-3.19041,"N",0
0.18849,"Y",1
-3.06708,"Y",1
-3.45708,"N",0
-1.52121,"N",0
-3.32076,"N",0
-2.69541,"N",0
-3.88851,"N",0
3.77742,"Y",1
4.65936,"Y",1
3.87933,"Y",1
4.42845,"Y",1
-3.88851,"N",0
1.9638,"Y",1
2.65035,"Y",1
2.82603,"Y",1
1.27113,"N",0
1.06221,"Y",1
4.2309,"Y",1
-3.21924,"N",0
-2.78163,"N",0
4.09569,"Y",1
1.89876,"Y",1
-2.05125,"N",0
4.41492,"Y",1
-3.78741,"N",0
-3.88851,"N",0
-2.4966,"N",0
4.11387,"Y",1
-3.88851,"N",0
-3.12615,"N",0
-3.51705,"N",0
-0.13044,"N",0
4.7631,"Y",1
-1.8795,"N",0
3.99615,"Y",1
3.73833,"Y",1
4.2558,"Y",1
-2.29449,"N",0
2.90211,"Y",1
-3.88851,"N",0
-3.20955,"N",0
0.81114,"N",0
-1.66149,"N",0
4.21041,"Y",1
-3.5562,"N",0
1.1502,"Y",1
2.49144,"Y",1
-0.5478,"N",0
-3.88851,"N",0
-3.88851,"N",0
3.97665,"Y",1
2.18124,"Y",1
-2.46981,"N",0
-3.76968,"N",0
-3.88851,"N",0
3.77034,"Y",1
0.86121,"Y",1
-1.87176,"Y",1
4.52958,"Y",1
-1.30878,"N",0
-3.54033,"N",0
-3.65502,"N",0
-2.4924,"N",0
-2.0427,"N",0
-3.39114,"N",0
4.7631,"Y",1
-0.44145,"Y",1
4.66197,"Y",1
-3.66855,"N",0
0.68148,"Y",1
-3.36072,"N",0
1.60596,"Y",1
-3.88851,"N",0
2.802,"Y",1
4.2831,"Y",1
-3.78975,"N",0
-3.00345,"N",0
2.73432,"Y",1
-3.08922,"N",0
-3.14055,"N",0
-3.49338,"N",0
-3.88851,"N",0
-3.88851,"N",0
-3.6612,"N",0
2.84001,"Y",1
-2.77698,"N",0
3.61641,"Y",1
3.98769,"Y",1
0.38235,"Y",1
-3.34044,"N",0
-3.88851,"N",0
1.99095,"N",0
-2.85528,"N",0
-0.76821,"Y",1
0.51531,"Y",1
4.7631,"Y",1
-2.15532,"Y",1
-3.88851,"N",0
2.70501,"Y",1
3.99276,"Y",1
-3.67272,"N",0
-3.91053,"N",0
3.59436,"Y",1
-3.88851,"N",0
-3.88851,"N",0
-3.59217,"N",0
-2.94069,"N",0
-3.37584,"N",0
1.80252,"Y",1
4.06878,"Y",1
3.57441,"Y",1
1.15749,"Y",1
3.07824,"Y",1
-3.88851,"N",0
2.63391,"N",0
0.38337,"Y",1
4.43352,"Y",1
-3.88851,"N",0
-3.65502,"N",0
-3.54033,"N",0
-3.88851,"N",0
4.30959,"Y",1
-3.91407,"N",0
-3.65502,"N",0
2.65671,"Y",1
-2.13003,"N",0
3.03186,"Y",1
-0.13692,"Y",1
-3.88851,"N",0
-0.53868,"Y",1
1.63818,"Y",1
0.39723,"Y",1
1.67511,"Y",1
1.25265,"Y",1
2.68101,"Y",1
1.31661,"Y",1
-3.88851,"N",0
-2.54508,"N",0
2.17347,"Y",1
3.01092,"Y",1
-1.26729,"N",0
-1.67709,"N",0
-3.88851,"N",0
-3.91053,"N",0
-3.67506,"N",0
-3.20544,"N",0
1.74825,"Y",1
-3.88851,"N",0
-4.03176,"N",0
-3.58512,"N",0
-3.77385,"N",0
0.75957,"Y",1
4.05408,"Y",1
-3.47286,"N",0
-3.42147,"N",0
-2.88042,"N",0
-3.30819,"N",0
4.64424,"Y",1
-3.12048,"N",0
-3.44856,"N",0
-3.22158,"N",0
0.91056,"Y",1
-3.88851,"N",0
-3.76968,"N",0
-3.88851,"N",0
