resume_id,firstname,sex,race,call
97,Darnell,male,black,0
98,Emily,female,white,0
99,Latonya,female,black,0
100,Sarah,female,white,0
101,Aisha,female,black,0
102,Anne,female,white,0
103,Jermaine,male,black,0
104,Neil,male,white,0
105,Allison,female,white,0
106,Anne,female,white,1
107,Keisha,female,black,0
108,Latonya,female,black,1
109,Latonya,female,black,0
110,Laurie,female,white,0
111,Jay,male,white,0
112,Lakisha,female,black,0
113,Anne,female,white,0
114,Keisha,female,black,0
115,Kristen,female,white,0
116,Lakisha,female,black,0
117,Allison,female,white,0
118,Ebony,female,black,0
119,Keisha,female,black,0
120,Kristen,female,white,0
121,Lakisha,female,black,0
122,Meredith,female,white,0
123,Allison,female,white,0
124,Kristen,female,white,0
125,Lakisha,female,black,0
126,Lakisha,female,black,0
127,Tanisha,female,black,1
128,Todd,male,white,1
129,Aisha,female,black,0
130,Anne,female,white,0
131,Jill,female,white,0
132,Latoya,female,black,0
133,Neil,male,white,0
134,Tamika,female,black,0
135,Anne,female,white,0
136,Geoffrey,male,white,0
137,Latoya,female,black,0
138,Rasheed,male,black,0
139,Aisha,female,black,0
140,Allison,female,white,0
141,Carrie,female,white,0
142,Ebony,female,black,0
143,Kenya,female,black,0
144,Kristen,female,white,0
145,Jermaine,male,black,0
146,Laurie,female,white,0
147,Allison,female,white,0
148,Kristen,female,white,0
149,Lakisha,female,black,0
150,Latonya,female,black,0
151,Brad,male,white,0
152,Leroy,male,black,0
153,Emily,female,white,0
154,Latonya,female,black,0
155,Latoya,female,black,0
156,Laurie,female,white,0
157,Aisha,female,black,0
158,Allison,female,white,0
159,Ebony,female,black,0
160,Jermaine,male,black,0
161,Kristen,female,white,0
162,Latonya,female,black,0
163,Laurie,female,white,0
164,Laurie,female,white,0
165,Anne,female,white,0
166,Brendan,male,white,1
167,Kareem,male,black,0
168,Keisha,female,black,0
169,Matthew,male,white,1
170,Meredith,female,white,0
171,Tanisha,female,black,0
172,Tanisha,female,black,1
173,Aisha,female,black,0
174,Allison,female,white,0
175,Allison,female,white,0
176,Anne,female,white,0
177,Brendan,male,white,0
178,Brett,male,white,0
179,Brett,male,white,0
180,Brett,male,white,0
181,Ebony,female,black,0
182,Geoffrey,male,white,0
183,Jay,male,white,0
184,Jill,female,white,0
185,Keisha,female,black,0
186,Keisha,female,black,0
187,Kenya,female,black,0
188,Kenya,female,black,0
189,Lakisha,female,black,0
190,Latoya,female,black,0
191,Latoya,female,black,0
192,Laurie,female,white,0
193,Matthew,male,white,0
194,Rasheed,male,black,0
195,Sarah,female,white,0
196,Sarah,female,white,0
197,Tamika,female,black,0
198,Tanisha,female,black,0
199,Tanisha,female,black,0
200,Tremayne,male,black,0
201,Lakisha,female,black,1
202,Meredith,female,white,1
203,Anne,female,white,0
204,Latonya,female,black,0
205,Sarah,female,white,0
206,Tamika,female,black,0
207,Jill,female,white,0
208,Keisha,female,black,0
209,Lakisha,female,black,0
210,Meredith,female,white,0
211,Jill,female,white,1
212,Keisha,female,black,0
213,Lakisha,female,black,0
214,Meredith,female,white,0
215,Carrie,female,white,0
216,Greg,male,white,0
217,Kenya,female,black,0
218,Tremayne,male,black,0
219,Kenya,female,black,0
220,Neil,male,white,0
221,Emily,female,white,0
222,Jill,female,white,0
223,Latonya,female,black,0
224,Tanisha,female,black,0
225,Ebony,female,black,0
226,Kristen,female,white,0
227,Latonya,female,black,0
228,Laurie,female,white,0
229,Anne,female,white,0
230,Emily,female,white,0
231,Keisha,female,black,0
232,Tanisha,female,black,0
233,Allison,female,white,0
234,Kristen,female,white,0
235,Latonya,female,black,0
236,Tanisha,female,black,0
237,Aisha,female,black,0
238,Allison,female,white,0
239,Anne,female,white,0
240,Latonya,female,black,0
241,Latoya,female,black,0
242,Sarah,female,white,0
243,Aisha,female,black,0
244,Anne,female,white,0
245,Latoya,female,black,0
246,Laurie,female,white,0
247,Anne,female,white,0
248,Carrie,female,white,1
249,Ebony,female,black,0
250,Lakisha,female,black,0
251,Allison,female,white,0
252,Keisha,female,black,0
253,Kristen,female,white,0
254,Tanisha,female,black,0
255,Aisha,female,black,0
256,Emily,female,white,0
257,Latonya,female,black,0
258,Sarah,female,white,0
259,Geoffrey,male,white,0
260,Kareem,male,black,1
261,Kristen,female,white,0
262,Rasheed,male,black,0
263,Todd,male,white,0
264,Tyrone,male,black,0
265,Brendan,male,white,0
266,Jamal,male,black,0
267,Matthew,male,white,0
268,Meredith,female,white,1
269,Rasheed,male,black,0
270,Tremayne,male,black,1
271,Anne,female,white,1
272,Ebony,female,black,1
273,Kristen,female,white,1
274,Tamika,female,black,0
275,Aisha,female,black,0
276,Allison,female,white,0
277,Emily,female,white,0
278,Kristen,female,white,0
279,Latoya,female,black,0
280,Tamika,female,black,0
281,Aisha,female,black,0
282,Anne,female,white,0
283,Emily,female,white,0
284,Jill,female,white,0
285,Keisha,female,black,0
286,Lakisha,female,black,0
287,Ebony,female,black,0
288,Kenya,female,black,0
289,Kristen,female,white,0
290,Meredith,female,white,0
291,Aisha,female,black,0
292,Anne,female,white,0
293,Emily,female,white,0
294,Emily,female,white,0
295,Kenya,female,black,0
296,Latonya,female,black,0
297,Anne,female,white,0
298,Emily,female,white,0
299,Keisha,female,black,0
300,Tamika,female,black,0
301,Anne,female,white,0
302,Emily,female,white,0
303,Keisha,female,black,0
304,Kenya,female,black,0
305,Latoya,female,black,0
306,Neil,male,white,0
307,Aisha,female,black,0
308,Anne,female,white,0
309,Emily,female,white,0
310,Tamika,female,black,0
311,Carrie,female,white,0
312,Jill,female,white,0
313,Keisha,female,black,0
314,Latonya,female,black,0
315,Sarah,female,white,0
316,Tyrone,male,black,0
317,Carrie,female,white,0
318,Emily,female,white,0
319,Latoya,female,black,0
320,Tanisha,female,black,0
321,Aisha,female,black,0
322,Kristen,female,white,0
323,Lakisha,female,black,0
324,Laurie,female,white,0
325,Allison,female,white,0
326,Jill,female,white,0
327,Keisha,female,black,0
328,Kristen,female,white,0
329,Lakisha,female,black,0
330,Leroy,male,black,0
331,Brad,male,white,0
332,Keisha,female,black,0
333,Allison,female,white,0
334,Carrie,female,white,0
335,Latonya,female,black,0
336,Latoya,female,black,0
337,Carrie,female,white,0
338,Ebony,female,black,0
339,Latonya,female,black,0
340,Laurie,female,white,0
341,Meredith,female,white,0
342,Tremayne,male,black,0
343,Allison,female,white,0
344,Carrie,female,white,0
345,Lakisha,female,black,0
346,Tamika,female,black,0
347,Anne,female,white,0
348,Darnell,male,black,0
349,Greg,male,white,1
350,Tamika,female,black,0
351,Allison,female,white,0
352,Carrie,female,white,0
353,Kenya,female,black,0
354,Tremayne,male,black,0
355,Aisha,female,black,0
356,Aisha,female,black,0
357,Brad,male,white,0
358,Brad,male,white,0
359,Brendan,male,white,0
360,Ebony,female,black,0
361,Geoffrey,male,white,0
362,Greg,male,white,0
363,Greg,male,white,0
364,Greg,male,white,0
365,Hakim,male,black,0
366,Jay,male,white,0
367,Jermaine,male,black,0
368,Kareem,male,black,0
369,Kareem,male,black,0
370,Latonya,female,black,0
371,Leroy,male,black,0
372,Meredith,female,white,0
373,Sarah,female,white,0
374,Sarah,female,white,0
375,Tamika,female,black,0
376,Tanisha,female,black,0
377,Todd,male,white,0
378,Tremayne,male,black,0
379,Emily,female,white,0
380,Kenya,female,black,0
381,Latoya,female,black,0
382,Sarah,female,white,0
383,Carrie,female,white,1
384,Jermaine,male,black,1
385,Matthew,male,white,0
386,Tyrone,male,black,0
387,Allison,female,white,0
388,Ebony,female,black,0
389,Jay,male,white,1
390,Tamika,female,black,0
391,Anne,female,white,0
392,Latonya,female,black,0
393,Laurie,female,white,0
394,Tanisha,female,black,0
395,Ebony,female,black,0
396,Jill,female,white,0
397,Kristen,female,white,0
398,Lakisha,female,black,0
399,Carrie,female,white,0
400,Jill,female,white,0
401,Keisha,female,black,0
402,Rasheed,male,black,0
403,Allison,female,white,0
404,Kenya,female,black,0
405,Meredith,female,white,0
406,Tamika,female,black,0
407,Matthew,male,white,0
408,Tremayne,male,black,0
409,Ebony,female,black,0
410,Emily,female,white,0
411,Jill,female,white,0
412,Tamika,female,black,0
413,Darnell,male,black,0
414,Emily,female,white,1
415,Neil,male,white,0
416,Tamika,female,black,0
417,Latonya,female,black,0
418,Laurie,female,white,0
419,Sarah,female,white,0
420,Tanisha,female,black,0
421,Carrie,female,white,0
422,Kareem,male,black,0
423,Todd,male,white,0
424,Tyrone,male,black,0
425,Anne,female,white,0
426,Jill,female,white,0
427,Kenya,female,black,1
428,Latoya,female,black,1
429,Anne,female,white,0
430,Ebony,female,black,0
431,Emily,female,white,0
432,Keisha,female,black,0
433,Allison,female,white,0
434,Kristen,female,white,0
435,Lakisha,female,black,0
436,Tanisha,female,black,0
437,Brendan,male,white,0
438,Laurie,female,white,0
439,Rasheed,male,black,0
440,Tyrone,male,black,0
441,Jill,female,white,0
442,Lakisha,female,black,0
443,Matthew,male,white,1
444,Tamika,female,black,0
445,Aisha,female,black,0
446,Emily,female,white,0
447,Keisha,female,black,0
448,Sarah,female,white,1
449,Anne,female,white,0
450,Emily,female,white,0
451,Latoya,female,black,0
452,Tamika,female,black,0
453,Kenya,female,black,0
454,Kristen,female,white,0
455,Latonya,female,black,0
456,Laurie,female,white,0
457,Carrie,female,white,0
458,Jill,female,white,0
459,Keisha,female,black,0
460,Latoya,female,black,0
461,Emily,female,white,0
462,Kristen,female,white,0
463,Latoya,female,black,0
464,Tamika,female,black,0
465,Keisha,female,black,0
466,Kristen,female,white,0
467,Lakisha,female,black,0
468,Meredith,female,white,0
469,Allison,female,white,0
470,Lakisha,female,black,0
471,Meredith,female,white,0
472,Tanisha,female,black,0
473,Emily,female,white,1
474,Keisha,female,black,0
475,Latonya,female,black,1
476,Sarah,female,white,1
477,Aisha,female,black,1
478,Jill,female,white,1
479,Latonya,female,black,1
480,Sarah,female,white,1
481,Anne,female,white,0
482,Kenya,female,black,0
483,Latoya,female,black,0
484,Sarah,female,white,0
485,Allison,female,white,0
486,Keisha,female,black,0
487,Meredith,female,white,0
488,Tanisha,female,black,0
489,Anne,female,white,0
490,Carrie,female,white,0
491,Latonya,female,black,0
492,Tanisha,female,black,0
493,Allison,female,white,0
494,Anne,female,white,0
495,Ebony,female,black,0
496,Jill,female,white,0
497,Keisha,female,black,0
498,Lakisha,female,black,0
499,Latonya,female,black,0
500,Todd,male,white,0
501,Carrie,female,white,0
502,Meredith,female,white,0
503,Tamika,female,black,0
504,Tanisha,female,black,0
505,Aisha,female,black,0
506,Anne,female,white,0
507,Emily,female,white,0
508,Latonya,female,black,0
509,Aisha,female,black,0
510,Allison,female,white,0
511,Jill,female,white,0
512,Tamika,female,black,0
513,Anne,female,white,0
514,Ebony,female,black,0
515,Jill,female,white,0
516,Tamika,female,black,0
517,Carrie,female,white,0
518,Kenya,female,black,0
519,Sarah,female,white,0
520,Tanisha,female,black,0
521,Anne,female,white,0
522,Keisha,female,black,0
523,Allison,female,white,0
524,Latoya,female,black,0
525,Sarah,female,white,0
526,Tamika,female,black,0
527,Anne,female,white,0
528,Jill,female,white,0
529,Kenya,female,black,0
530,Lakisha,female,black,0
531,Jill,female,white,0
532,Keisha,female,black,0
533,Lakisha,female,black,0
534,Meredith,female,white,0
535,Aisha,female,black,0
536,Allison,female,white,0
537,Allison,female,white,0
538,Hakim,male,black,0
539,Sarah,female,white,0
540,Tamika,female,black,0
541,Aisha,female,black,0
542,Latoya,female,black,0
543,Laurie,female,white,0
544,Meredith,female,white,0
545,Aisha,female,black,0
546,Allison,female,white,0
547,Allison,female,white,0
548,Allison,female,white,0
549,Anne,female,white,0
550,Brad,male,white,0
551,Brendan,male,white,0
552,Darnell,male,black,0
553,Emily,female,white,0
554,Geoffrey,male,white,0
555,Greg,male,white,0
556,Hakim,male,black,0
557,Hakim,male,black,0
558,Jay,male,white,0
559,Jermaine,male,black,0
560,Kareem,male,black,0
561,Kenya,female,black,0
562,Kenya,female,black,0
563,Lakisha,female,black,0
564,Latonya,female,black,0
565,Meredith,female,white,0
566,Neil,male,white,0
567,Neil,male,white,0
568,Rasheed,male,black,0
569,Tamika,female,black,0
570,Tanisha,female,black,0
571,Todd,male,white,0
572,Tremayne,male,black,0
573,Brad,male,white,0
574,Ebony,female,black,0
575,Jamal,male,black,0
576,Jay,male,white,0
577,Ebony,female,black,1
578,Emily,female,white,1
579,Latonya,female,black,0
580,Meredith,female,white,0
581,Lakisha,female,black,0
582,Latonya,female,black,0
583,Laurie,female,white,1
584,Meredith,female,white,0
585,Darnell,male,black,0
586,Geoffrey,male,white,0
587,Kristen,female,white,0
588,Tyrone,male,black,0
589,Jill,female,white,0
590,Latonya,female,black,0
591,Sarah,female,white,0
592,Tanisha,female,black,0
593,Allison,female,white,1
594,Ebony,female,black,0
595,Lakisha,female,black,0
596,Laurie,female,white,1
597,Allison,female,white,0
598,Emily,female,white,0
599,Tamika,female,black,0
600,Tanisha,female,black,0
601,Allison,female,white,1
602,Brett,male,white,0
603,Jermaine,male,black,0
604,Tanisha,female,black,0
605,Aisha,female,black,0
606,Allison,female,white,0
607,Jill,female,white,0
608,Latonya,female,black,0
609,Carrie,female,white,0
610,Ebony,female,black,0
611,Latoya,female,black,0
612,Laurie,female,white,0
613,Carrie,female,white,0
614,Keisha,female,black,0
615,Latonya,female,black,0
616,Sarah,female,white,0
617,Allison,female,white,0
618,Ebony,female,black,0
619,Kenya,female,black,0
620,Sarah,female,white,0
621,Aisha,female,black,0
622,Jill,female,white,0
623,Kristen,female,white,0
624,Latonya,female,black,0
625,Anne,female,white,0
626,Ebony,female,black,0
627,Kristen,female,white,0
628,Latoya,female,black,0
629,Ebony,female,black,0
630,Jill,female,white,0
631,Sarah,female,white,0
632,Tamika,female,black,0
633,Emily,female,white,0
634,Keisha,female,black,0
635,Kenya,female,black,0
636,Sarah,female,white,0
637,Aisha,female,black,0
638,Ebony,female,black,0
639,Jill,female,white,0
640,Meredith,female,white,0
641,Anne,female,white,0
642,Emily,female,white,0
643,Latoya,female,black,0
644,Tamika,female,black,0
645,Allison,female,white,0
646,Emily,female,white,0
647,Kenya,female,black,0
648,Tamika,female,black,0
649,Allison,female,white,0
650,Carrie,female,white,0
651,Keisha,female,black,0
652,Lakisha,female,black,0
653,Laurie,female,white,0
654,Tanisha,female,black,0
655,Anne,female,white,0
656,Carrie,female,white,0
657,Keisha,female,black,0
658,Tamika,female,black,0
659,Allison,female,white,0
660,Latonya,female,black,0
661,Laurie,female,white,0
662,Tamika,female,black,0
663,Allison,female,white,0
664,Keisha,female,black,0
665,Meredith,female,white,0
666,Tanisha,female,black,0
667,Jill,female,white,0
668,Lakisha,female,black,0
669,Sarah,female,white,0
670,Tamika,female,black,0
671,Anne,female,white,0
672,Ebony,female,black,0
673,Sarah,female,white,0
674,Tanisha,female,black,0
675,Carrie,female,white,0
676,Keisha,female,black,0
677,Latonya,female,black,0
678,Sarah,female,white,0
679,Carrie,female,white,0
680,Latoya,female,black,0
681,Meredith,female,white,0
682,Tanisha,female,black,0
683,Allison,female,white,0
684,Ebony,female,black,0
685,Lakisha,female,black,0
686,Laurie,female,white,0
687,Kenya,female,black,0
688,Laurie,female,white,0
689,Jay,male,white,0
690,Keisha,female,black,0
691,Emily,female,white,0
692,Kenya,female,black,0
693,Sarah,female,white,0
694,Tanisha,female,black,0
695,Aisha,female,black,0
696,Allison,female,white,0
697,Allison,female,white,0
698,Anne,female,white,0
699,Brad,male,white,0
700,Brad,male,white,0
701,Brett,male,white,0
702,Carrie,female,white,0
703,Carrie,female,white,0
704,Emily,female,white,0
705,Jamal,male,black,0
706,Jay,male,white,0
707,Jay,male,white,0
708,Jermaine,male,black,0
709,Jill,female,white,0
710,Kareem,male,black,0
711,Kareem,male,black,0
712,Kareem,male,black,0
713,Keisha,female,black,0
714,Latonya,female,black,0
715,Latonya,female,black,0
716,Latoya,female,black,0
717,Laurie,female,white,0
718,Leroy,male,black,0
719,Neil,male,white,0
720,Rasheed,male,black,0
721,Sarah,female,white,0
722,Sarah,female,white,0
723,Tanisha,female,black,0
724,Tanisha,female,black,0
725,Tremayne,male,black,0
726,Tyrone,male,black,0
727,Kristen,female,white,0
728,Latonya,female,black,0
729,Sarah,female,white,0
730,Tanisha,female,black,0
731,Ebony,female,black,0
732,Emily,female,white,0
733,Lakisha,female,black,0
734,Sarah,female,white,0
735,Anne,female,white,1
736,Latoya,female,black,1
737,Meredith,female,white,0
738,Tanisha,female,black,0
739,Anne,female,white,0
740,Hakim,male,black,0
741,Jay,male,white,0
742,Latoya,female,black,0
743,Aisha,female,black,0
744,Emily,female,white,0
745,Jill,female,white,0
746,Keisha,female,black,0
747,Laurie,female,white,0
748,Tamika,female,black,0
749,Carrie,female,white,0
750,Lakisha,female,black,0
751,Latoya,female,black,0
752,Laurie,female,white,0
753,Allison,female,white,0
754,Kristen,female,white,0
755,Lakisha,female,black,0
756,Latonya,female,black,0
757,Allison,female,white,1
758,Keisha,female,black,0
759,Laurie,female,white,1
760,Tanisha,female,black,0
761,Jill,female,white,0
762,Kristen,female,white,0
763,Lakisha,female,black,0
764,Tamika,female,black,0
765,Latoya,female,black,1
766,Laurie,female,white,1
767,Sarah,female,white,0
768,Tamika,female,black,0
769,Ebony,female,black,0
770,Lakisha,female,black,0
771,Meredith,female,white,0
772,Sarah,female,white,0
773,Allison,female,white,0
774,Kenya,female,black,0
775,Laurie,female,white,0
776,Tamika,female,black,0
777,Allison,female,white,0
778,Keisha,female,black,0
779,Lakisha,female,black,0
780,Meredith,female,white,0
781,Latonya,female,black,0
782,Laurie,female,white,0
783,Aisha,female,black,0
784,Allison,female,white,0
785,Carrie,female,white,0
786,Tanisha,female,black,0
787,Anne,female,white,0
788,Latoya,female,black,0
789,Laurie,female,white,0
790,Tamika,female,black,0
791,Carrie,female,white,0
792,Lakisha,female,black,0
793,Latonya,female,black,0
794,Sarah,female,white,0
795,Ebony,female,black,0
796,Kristen,female,white,0
797,Anne,female,white,0
798,Emily,female,white,0
799,Kenya,female,black,0
800,Latoya,female,black,0
801,Allison,female,white,0
802,Emily,female,white,0
803,Tamika,female,black,0
804,Tanisha,female,black,0
805,Aisha,female,black,0
806,Allison,female,white,0
807,Carrie,female,white,1
808,Latoya,female,black,0
809,Ebony,female,black,0
810,Jill,female,white,0
811,Kristen,female,white,0
812,Latoya,female,black,0
813,Anne,female,white,0
814,Emily,female,white,0
815,Keisha,female,black,0
816,Kenya,female,black,0
817,Carrie,female,white,0
818,Ebony,female,black,0
819,Meredith,female,white,0
820,Tamika,female,black,0
821,Kristen,female,white,1
822,Laurie,female,white,0
823,Tamika,female,black,0
824,Tanisha,female,black,0
825,Carrie,female,white,0
826,Emily,female,white,0
827,Keisha,female,black,0
828,Tamika,female,black,0
829,Allison,female,white,0
830,Brad,male,white,0
831,Brad,male,white,0
832,Brendan,male,white,0
833,Brett,male,white,0
834,Brett,male,white,0
835,Carrie,female,white,0
836,Emily,female,white,0
837,Greg,male,white,0
838,Hakim,male,black,0
839,Hakim,male,black,0
840,Hakim,male,black,0
841,Jamal,male,black,0
842,Jay,male,white,0
843,Keisha,female,black,0
844,Keisha,female,black,0
845,Keisha,female,black,0
846,Keisha,female,black,0
847,Keisha,female,black,0
848,Keisha,female,black,0
849,Kenya,female,black,0
850,Kristen,female,white,0
851,Matthew,male,white,0
852,Meredith,female,white,0
853,Sarah,female,white,0
854,Sarah,female,white,0
855,Todd,male,white,0
856,Tremayne,male,black,0
857,Tyrone,male,black,0
858,Tyrone,male,black,0
859,Tyrone,male,black,0
860,Tyrone,male,black,0
861,Allison,female,white,0
862,Anne,female,white,0
863,Latonya,female,black,0
864,Tamika,female,black,0
865,Jill,female,white,0
866,Kenya,female,black,0
867,Meredith,female,white,0
868,Tamika,female,black,0
869,Allison,female,white,0
870,Ebony,female,black,0
871,Emily,female,white,0
872,Latoya,female,black,0
873,Kristen,female,white,0
874,Latonya,female,black,0
875,Laurie,female,white,0
876,Tanisha,female,black,0
877,Anne,female,white,0
878,Kenya,female,black,0
879,Lakisha,female,black,0
880,Meredith,female,white,0
881,Emily,female,white,0
882,Meredith,female,white,0
883,Tanisha,female,black,0
884,Tyrone,male,black,0
885,Aisha,female,black,0
886,Allison,female,white,1
887,Carrie,female,white,1
888,Latoya,female,black,0
889,Anne,female,white,1
890,Tamika,female,black,0
891,Aisha,female,black,0
892,Carrie,female,white,0
893,Ebony,female,black,0
894,Meredith,female,white,0
895,Anne,female,white,0
896,Lakisha,female,black,0
897,Latonya,female,black,0
898,Meredith,female,white,1
899,Aisha,female,black,0
900,Emily,female,white,0
901,Jill,female,white,0
902,Keisha,female,black,0
903,Allison,female,white,0
904,Latoya,female,black,0
905,Meredith,female,white,0
906,Tanisha,female,black,0
907,Carrie,female,white,0
908,Kenya,female,black,0
909,Latonya,female,black,0
910,Sarah,female,white,1
911,Allison,female,white,1
912,Ebony,female,black,0
913,Sarah,female,white,0
914,Tanisha,female,black,0
915,Anne,female,white,0
916,Ebony,female,black,0
917,Keisha,female,black,0
918,Kristen,female,white,0
919,Allison,female,white,0
920,Emily,female,white,0
921,Latonya,female,black,0
922,Latoya,female,black,0
923,Jill,female,white,0
924,Latoya,female,black,0
925,Sarah,female,white,1
926,Tamika,female,black,1
927,Anne,female,white,0
928,Jill,female,white,0
929,Keisha,female,black,0
930,Kenya,female,black,0
931,Latoya,female,black,0
932,Laurie,female,white,0
933,Meredith,female,white,0
934,Tamika,female,black,0
935,Aisha,female,black,0
936,Anne,female,white,0
937,Keisha,female,black,0
938,Laurie,female,white,0
939,Carrie,female,white,0
940,Kenya,female,black,0
941,Lakisha,female,black,0
942,Laurie,female,white,0
943,Emily,female,white,0
944,Greg,male,white,0
945,Lakisha,female,black,0
946,Latoya,female,black,0
947,Jill,female,white,0
948,Kristen,female,white,0
949,Latoya,female,black,0
950,Tamika,female,black,0
951,Ebony,female,black,0
952,Emily,female,white,0
953,Kristen,female,white,1
954,Latoya,female,black,0
955,Allison,female,white,0
956,Latoya,female,black,0
957,Carrie,female,white,0
958,Keisha,female,black,0
959,Kristen,female,white,0
960,Latoya,female,black,0
961,Allison,female,white,0
962,Anne,female,white,0
963,Lakisha,female,black,0
964,Tamika,female,black,0
965,Ebony,female,black,0
966,Kristen,female,white,0
967,Meredith,female,white,0
968,Tanisha,female,black,0
969,Allison,female,white,0
970,Emily,female,white,0
971,Tamika,female,black,0
972,Tanisha,female,black,0
973,Allison,female,white,0
974,Kenya,female,black,0
975,Laurie,female,white,0
976,Tamika,female,black,0
977,Allison,female,white,1
978,Ebony,female,black,0
979,Jill,female,white,0
980,Keisha,female,black,0
981,Allison,female,white,0
982,Carrie,female,white,0
983,Ebony,female,black,0
984,Tamika,female,black,0
985,Carrie,female,white,0
986,Keisha,female,black,0
987,Kenya,female,black,0
988,Sarah,female,white,1
989,Ebony,female,black,1
990,Laurie,female,white,0
991,Allison,female,white,0
992,Keisha,female,black,0
993,Kristen,female,white,0
994,Tamika,female,black,0
995,Ebony,female,black,0
996,Keisha,female,black,0
997,Meredith,female,white,0
998,Sarah,female,white,0
999,Anne,female,white,0
1000,Brad,male,white,0
1001,Brett,male,white,0
1002,Brett,male,white,0
1003,Darnell,male,black,0
1004,Ebony,female,black,0
1005,Emily,female,white,0
1006,Geoffrey,male,white,0
1007,Jamal,male,black,0
1008,Jay,male,white,0
1009,Jay,male,white,1
1010,Jermaine,male,black,0
1011,Jermaine,male,black,0
1012,Jill,female,white,0
1013,Jill,female,white,0
1014,Kareem,male,black,0
1015,Keisha,female,black,0
1016,Kenya,female,black,0
1017,Kristen,female,white,0
1018,Latonya,female,black,0
1019,Latonya,female,black,0
1020,Latonya,female,black,0
1021,Laurie,female,white,0
1022,Leroy,male,black,0
1023,Leroy,male,black,0
1024,Leroy,male,black,0
1025,Leroy,male,black,0
1026,Matthew,male,white,0
1027,Meredith,female,white,0
1028,Neil,male,white,0
1029,Neil,male,white,0
1030,Neil,male,white,0
1031,Neil,male,white,0
1032,Rasheed,male,black,0
1033,Rasheed,male,black,0
1034,Tanisha,female,black,0
1035,Todd,male,white,0
1036,Todd,male,white,0
1037,Tyrone,male,black,0
1038,Tyrone,male,black,0
1039,Allison,female,white,0
1040,Jill,female,white,0
1041,Latonya,female,black,0
1042,Tamika,female,black,0
1043,Jill,female,white,0
1044,Kenya,female,black,0
1045,Kristen,female,white,0
1046,Tamika,female,black,0
1047,Brett,male,white,0
1048,Hakim,male,black,0
1049,Laurie,female,white,1
1050,Rasheed,male,black,0
1051,Carrie,female,white,0
1052,Ebony,female,black,0
1053,Latonya,female,black,0
1054,Meredith,female,white,0
1055,Allison,female,white,0
1056,Ebony,female,black,0
1057,Latoya,female,black,0
1058,Laurie,female,white,0
1059,Carrie,female,white,0
1060,Kenya,female,black,0
1061,Lakisha,female,black,0
1062,Meredith,female,white,0
1063,Aisha,female,black,0
1064,Anne,female,white,0
1065,Kristen,female,white,0
1066,Tanisha,female,black,0
1067,Anne,female,white,0
1068,Anne,female,white,0
1069,Ebony,female,black,0
1070,Tanisha,female,black,0
1071,Kenya,female,black,0
1072,Kristen,female,white,0
1073,Meredith,female,white,0
1074,Tanisha,female,black,0
1075,Aisha,female,black,0
1076,Carrie,female,white,0
1077,Latonya,female,black,0
1078,Laurie,female,white,0
