village,female,water,irrigation
GP100_village2,1,2,5
GP100_village1,1,7,0
GP101_village2,0,20,2
GP101_village1,0,3,0
GP102_village2,1,60,1
GP102_village1,1,6,0
GP103_village2,0,3,0
GP103_village1,0,3,0
GP104_village2,0,22,0
GP104_village1,0,7,9
GP105_village2,0,13,0
GP105_village1,0,22,0
GP106_village2,0,8,1
GP106_village1,0,14,0
GP107_village2,0,2,1
GP107_village1,0,24,0
GP108_village2,0,13,0
GP108_village1,0,21,0
GP109_village2,1,5,0
GP109_village1,1,8,0
GP110_village2,0,24,0
GP110_village1,0,7,0
GP111_village2,1,18,0
GP111_village1,1,29,0
GP112_village2,0,26,0
GP112_village1,0,10,0
GP113_village2,0,40,16
GP113_village1,0,10,8
GP114_village2,1,7,14
GP114_village1,1,16,2
GP115_village2,1,7,0
GP115_village1,1,5,0
GP116_village2,0,12,10
GP116_village1,0,4,0
GP117_village2,0,20,0
GP117_village1,0,9,0
GP118_village2,1,71,2
GP118_village1,1,5,0
GP119_village2,0,4,18
GP119_village1,0,17,2
GP120_village2,0,47,47
GP120_village1,0,9,15
GP121_village2,0,25,0
GP121_village1,0,62,0
GP122_village2,0,58,8
GP122_village1,0,6,0
GP123_village2,1,5,0
GP123_village1,1,15,0
GP124_village2,0,8,4
GP124_village1,0,12,0
GP125_village2,1,32,0
GP125_village1,1,17,0
GP126_village2,0,10,2
GP126_village1,0,4,8
GP127_village2,0,3,0
GP127_village1,0,3,0
GP128_village2,1,16,2
GP128_village1,1,3,15
GP129_village2,1,86,5
GP129_village1,1,11,24
GP130_village2,1,21,0
GP130_village1,1,5,0
GP131_village2,0,54,90
GP131_village1,0,8,34
GP132_village2,0,19,0
GP132_village1,0,4,0
GP133_village2,0,77,8
GP133_village1,0,44,0
GP134_village2,1,4,1
GP134_village1,1,4,6
GP135_village2,1,26,0
GP135_village1,1,10,0
GP136_village2,0,21,0
GP136_village1,0,46,20
GP137_village2,0,30,6
GP137_village1,0,20,0
GP138_village2,0,10,3
GP138_village1,0,2,2
GP139_village2,0,90,5
GP139_village1,0,155,83
GP140_village2,0,23,1
GP140_village1,0,8,0
GP141_village2,1,20,9
GP141_village1,1,22,4
GP142_village2,0,25,2
GP142_village1,0,20,0
GP143_village2,1,21,3
GP143_village1,1,59,32
GP144_village2,0,8,3
GP144_village1,0,1,0
GP145_village2,0,25,0
GP145_village1,0,4,0
GP146_village2,0,7,0
GP146_village1,0,40,0
GP147_village2,1,7,2
GP147_village1,1,0,0
GP148_village2,0,19,0
GP148_village1,0,3,2
GP149_village2,0,40,0
GP149_village1,0,2,0
GP150_village2,1,17,1
GP150_village1,1,9,0
GP151_village2,0,7,4
GP151_village1,0,42,1
GP152_village2,0,1,0
GP152_village1,0,3,1
GP153_village2,0,3,0
GP153_village1,0,66,0
GP154_village2,0,6,0
GP154_village1,0,35,30
GP155_village2,0,51,3
GP155_village1,0,13,10
GP156_village2,0,7,0
GP156_village1,0,16,0
GP157_village2,0,20,0
GP157_village1,0,21,0
GP158_village2,0,3,0
GP158_village1,0,4,8
GP159_village2,1,11,0
GP159_village1,1,29,0
GP160_village2,1,2,0
GP160_village1,1,5,5
GP161_village2,0,2,0
GP161_village1,0,11,0
